Gender,Age,HeadCircumference,ShoulderWidth,ChestWidth,Belly,Waist,Hips,ArmLength,ShoulderToWaist,WaistToKnee,LegLength,TotalHeight,Weight
1.0,4,20,16,12,10,14,14,20,25,18,32,51,28.5
1.0,7,26,19,14,12,23,16,24,28,23,46,73,63.4
1.0,54,20,17,14,13,14,15,22,26,21,42,62,47.0
1.0,19,20,16,8,9,14,16,18,21,22,38,52,26.7
2.0,15,23,16,14,11,14,14,21,23,17,33,56,36.4
1.0,24,22,17,12,13,22,12,23,27,20,46,62,44.6
1.0,32,20,17,18,9,16,8,23,13,20,30,40,18.9
1.0,16,16,8,12,8,7,10,11,11,8,17,23,5.5
2.0,2,20,19,13,12,16,17,7,27,19,39,43,21.4
1.0,28,22,19,20,18,20,23,24,27,19,39,38,21.2
1.0,22,20,13,10,8,10,12,23,19,20,34,75,56.2
1.0,8,23,20,16,15,14,16,13,27,23,45,53,36.5
1.0,36,23,16,11,10,14,14,25,25,20,39,53,30.5
2.0,21,23,16,21,14,20,17,22,22,21,30,43,25.5
1.0,32,17,14,18,14,20,17,20,19,19,39,34,15.2
1.0,16,21,18,18,14,18,19,18,26,22,40,46,27.8
1.0,17,19,12,17,13,16,18,23,23,20,38,42,22.2
1.0,18,23,20,14,13,17,16,20,28,20,40,48,27.7
1.0,24,22,17,22,13,22,19,23,20,20,27,47,30.2
1.0,32,25,19,23,18,23,20,22,23,23,29,56,47.3
1.0,42,24,18,21,20,22,24,26,28,18,38,59,52.8
1.0,4,18,12,14,13,14,15,16,18,14,25,42,21.5
2.0,19,19,18,15,213,14,17,16,20,23,36,60,104.5
1.0,20,18,19,16,12,15,16,15,18,25,38,59,42.9
1.0,21,16,22,20,23,14,19,16,17,26,29,62,61.0
1.0,17,17,17,21,15,13,11,14,18,27,34,41,23.6
1.0,16,22,16,10,17,10,13,22,17,21,34,57,40.3
2.0,24,21,14,9,10,17,20,16,18,20,37,49,24.8
2.0,18,17,19,8,11,14,19,14,20,21,30,63,41.1
1.0,37,19,20,13,18,18,18,16,21,19,23,49,31.7
2.0,50,16,23,18,12,50,14,22,12,18,29,44,24.8
2.0,42,14,10,12,9,49,17,20,25,17,13,54,31.4
1.0,40,12,14,11,18,36,17,21,23,16,27,64,52.6
1.0,35,15,19,16,10,26,16,19,24,22,28,69,56.3
1.0,29,13,18,17,23,19,13,20,21,19,30,67,68.7
1.0,55,18,17,15,24,60,14,14,20,23,29,57,49.4
2.0,25,22,14,11,14,10,19,15,19,21,31,68,53.9
2.0,33,25,16,12,13,20,13,21,17,20,29,69,56.0
1.0,39,16,15,14,14,21,19,15,17,22,24,48,28.6
1.0,17,23,20,10,9,18,20,16,16,19,20,58,34.7
1.0,22,15,19,11,16,19,21,12,18,18,21,60,44.6
1.0,25,13,22,14,12,20,22,21,19,19,22,57,38.8
1.0,32,11,11,19,14,21,21,15,21,22,30,48,30.7
2.0,39,24,10,11,18,21,19,20,23,20,29,49,30.8
1.0,49,16,10,16,20,10,14,16,21,21,25,54,42.0
2.0,26,13,14,13,11,17,17,19,20,30,30,47,25.2
2.0,44,10,16,10,19,31,16,20,19,20,29,66,56.2
1.0,25,9,17,7,10,29,14,17,18,18,19,49,24.1
1.0,15,14,18,9,9,12,15,19,20,21,20,54,29.3
2.0,50,21,19,10,20,52,36,40,36,30,29,47,29.4
2.0,42,21,12,11,19,40,44,41,33,29,30,40,21.1
1.0,20,22,18,17,15,14,15,24,22,21,21,55,40.2
1.0,31,18,19,20,15,21,22,22,19,20,13,52,37.5
1.0,19,17,14,16,9,9,14,23,25,13,20,32,11.8
2.0,24,19,20,21,10,10,30,18,15,19,9,35,15.6
2.0,27,23,16,17,12,11,18,15,21,20,15,56,38.9
2.0,29,25,18,19,14,12,19,19,22,25,20,50,33.7
2.0,30,20,20,18,16,16,20,25,23,15,18,45,28.0
1.0,31,16,18,18,18,23,18,23,22,20,18,45,28.9
2.0,28,16,19,16,12,24,17,24,24,14,19,51,31.6
1.0,23,18,17,18,11,19,14,20,26,21,24,48,28.2
2.0,29,15,20,19,16,21,18,19,20,22,22,43,25.7
1.0,35,17,18,20,15,18,19,21,21,14,23,52,37.4
1.0,18,25,18,21,17,20,20,23,25,23,26,39,22.0
1.0,20,23,22,20,12,21,21,24,22,22,27,45,26.3
1.0,35,19,18,18,19,18,22,17,19,20,21,48,33.4
1.0,32,18,16,20,16,20,18,22,20,19,19,31,13.4
1.0,31,20,21,18,17,21,19,18,18,18,19,60,50.0
2.0,20,21,18,19,14,18,17,19,17,17,19,50,33.3
2.0,19,24,21,20,10,18,20,20,14,24,16,49,30.2
1.0,18,19,18,16,19,19,21,23,23,22,20,33,15.4
2.0,24,20,21,18,15,29,22,24,28,21,22,39,20.6
2.0,22,20,19,19,14,22,20,23,27,20,21,47,29.2
1.0,21,24,20,18,13,14,18,21,19,20,20,53,36.1
2.0,26,17,16,18,10,17,17,17,20,18,19,41,20.2
1.0,18,18,15,17,11,16,15,20,21,16,21,52,32.9
1.0,27,19,16,17,13,19,14,25,25,19,20,48,29.5
1.0,29,21,20,18,12,20,20,19,20,20,19,51,33.3
1.0,30,21,18,18,12,19,19,20,22,21,18,40,20.3
1.0,20,20,21,20,17,20,18,24,19,22,21,55,43.4
1.0,5,18,13,14,13,13,12,12,16,9,19,30,10.9
2.0,25,22,17,20,16,20,20,20,20,19,30,50,34.9
2.0,3,19,10,14,15,8,7,7,12,6,16,20,5.1
2.0,7,21,14,15,21,14,12,12,16,11,25,30,13.0
1.0,50,24,21,19,13,27,30,20,21,19,30,50,33.0
1.0,16,19,16,16,21,15,16,20,20,20,40,52,39.3
1.0,5,22,12,11,14,6,8,11,11,18,16,31,11.4
1.0,20,17,18,16,11,20,20,20,21,16,32,52,32.6
1.0,4,21,10,12,16,8,7,66,7,8,17,21,5.5
1.0,23,22,15,9,8,20,10,66,20,15,31,51,25.3
1.0,17,18,16,8,7,7,11,21,21,16,32,52,26.2
1.0,13,16,16,7,9,10,14,22,20,17,31,40,15.7
2.0,18,19,17,10,6,9,11,19,22,12,27,46,20.5
2.0,2,21,6,6,7,11,7,16,7,8,17,21,4.3
2.0,3,23,11,8,5,9,7,7,11,7,17,30,8.7
2.0,7,21,13,10,6,7,12,8,21,10,25,36,12.5
2.0,14,22,16,7,9,9,10,20,20,10,30,43,18.0
1.0,20,19,17,7,11,10,10,21,18,16,36,46,21.6
1.0,31,24,17,10,9,11,10,22,18,20,40,46,21.7
1.0,12,21,16,9,6,11,10,17,23,17,32,56,30.4
1.0,6,22,10,8,9,10,10,21,21,13,23,41,16.9
1.0,3,18,19,10,10,6,12,21,20,12,30,35,12.9
1.0,27,25,20,11,11,10,14,20,21,19,34,40,17.5
1.0,26,23,17,12,12,11,12,20,16,17,30,52,31.0
1.0,36,21,15,13,11,7,13,21,17,20,42,42,20.1
1.0,31,21,16,11,10,6,11,22,20,19,39,70,52.9
1.0,25,23,18,13,11,10,14,20,20,14,30,56,36.0
1.0,4,19,13,16,15,14,15,14,19,10,21,32,13.4
1.0,27,21,18,21,19,21,22,24,22,20,40,57,48.9
1.0,2,18,9,10,9,9,10,9,15,9,18,23,5.4
1.0,9,20,15,15,16,15,16,16,19,13,26,35,16.1
1.0,60,23,22,20,23,30,34,24,25,20,40,55,48.0
2.0,18,24,17,18,15,16,18,22,22,21,42,57,44.2
2.0,4,18,14,12,10,9,10,12,12,9,18,32,11.3
1.0,22,27,17,20,18,21,22,23,22,19,39,55,44.0
2.0,2,18,9,13,9,9,10,8,10,9,18,23,5.8
1.0,24,20,10,10,9,21,11,23,21,19,38,53,29.0
1.0,19,21,17,9,10,9,12,24,22,20,40,56,32.3
1.0,15,19,17,8,8,11,15,20,20,20,40,50,24.2
2.0,19,21,18,11,9,10,13,20,23,15,30,48,24.2
2.0,3,17,8,7,7,10,9,9,10,9,18,23,5.1
1.0,4,19,12,9,8,11,9,10,12,10,20,32,10.1
1.0,8,20,12,11,9,8,13,19,21,15,30,40,16.8
1.0,16,22,17,9,9,10,12,21,23,18,32,47,22.5
1.0,21,24,18,10,10,13,13,22,24,19,38,50,26.6
1.0,32,23,18,11,12,12,12,24,26,21,42,60,40.5
1.0,14,20,17,10,10,11,12,21,24,19,38,43,19.6
1.0,7,20,16,10,8,12,12,18,20,14,28,38,14.5
1.0,4,18,10,11,10,10,10,20,21,16,32,41,18.1
1.0,29,22,18,12,11,12,15,23,26,21,42,54,33.0
1.0,28,20,18,14,12,10,16,23,25,20,40,46,25.0
1.0,35,22,19,15,14,14,15,24,26,22,44,72,65.7
1.0,30,22,18,12,13,15,15,23,25,21,42,64,48.1
2.0,24,24,17,15,12,13,15,22,24,16,32,57,39.1
1.0,30,23,18,12,29,32,16,22,20,21,20,64,65.0
2.0,3,18,11,10,22,37,23,13,10,10,17,22,6.6
1.0,20,22,18,16,30,37,28,25,19,22,40,46,35.6
1.0,34,23,20,17,34,41,24,25,18,22,40,59,63.3
1.0,35,24,21,18,37,28,24,23,17,23,39,57,62.2
1.0,12,20,14,12,27,33,27,18,14,14,29,57,49.6
1.0,30,23,18,15,29,26,20,23,22,22,41,64,67.6
1.0,15,20,14,11,23,23,15,19,17,14,30,50,35.3
1.0,18,19,18,15,28,34,28,25,24,23,39,80,102.9
1.0,17,21,16,13,28,25,28,22,20,18,36,79,99.0
1.0,10,21,14,9,25,42,26,17,17,18,26,71,71.7
1.0,25,27,20,17,37,42,28,23,20,17,37,60,68.0
1.0,32,25,19,16,37,36,8,23,23,20,38,24,10.8
1.0,34,22,19,17,32,38,24,24,25,19,36,59,61.3
1.0,37,24,20,18,36,38,37,23,20,23,39,68,86.9
2.0,1,11,6,16,13,13,14,9,9,9,13,21,5.5
1.0,1,12,5,17,12,13,15,9,9,7,13,20,5.0
2.0,3,11,6,15,13,12,14,9,10,8,13,22,5.9
1.0,4,13,5,18,14,14,17,10,9,8,14,23,6.9
1.0,3,18,8,20,20,22,20,8,12,8,15,24,8.7
2.0,2,11,87,15,13,12,14,9,9,6,13,19,4.4
2.0,1,12,7,16,13,12,15,10,10,8,12,20,5.0
1.0,4,22,11,22,20,21,22,7,14,13,24,27,11.2
2.0,3,20,10,20,20,21,22,8,14,13,23,24,8.7
2.0,4,22,11,21,20,23,24,10,10,13,22,25,9.5
1.0,5,22,15,20,19,18,20,19,22,12,16,45,30.0
2.0,6,20,14,19,17,16,18,18,20,12,26,43,26.1
2.0,7,21,15,19,17,16,18,18,21,12,37,45,28.2
1.0,8,20,13,26,23,26,27,10,19,19,31,52,46.0
2.0,9,23,15,26,21,20,22,13,19,18,32,55,49.9
1.0,10,24,16,27,24,23,24,17,19,20,33,50,43.8
2.0,11,25,16,27,28,25,28,21,22,45,49,59,64.3
2.0,12,26,14,28,24,25,27,22,23,26,40,60,63.6
1.0,13,28,19,27,23,24,27,21,23,26,40,62,66.4
2.0,19,29,19,31,28,28,28,30,26,30,46,68,89.0
1.0,20,26,17,28,21,26,28,27,26,29,40,67,75.5
1.0,21,28,18,28,23,25,27,21,27,29,43,69,83.0
2.0,22,20,28,19,28,22,26,28,27,26,40,68,78.2
2.0,23,20,18,28,23,25,26,25,28,28,41,69,82.6
1.0,24,28,18,28,23,24,26,28,27,27,42,72,90.6
2.0,25,26,20,37,28,26,27,28,28,27,42,74,111.8
1.0,26,26,20,38,27,28,27,27,26,25,40,85,148.3
1.0,27,28,20,31,30,32,38,30,28,27,41,86,146.8
2.0,20,29,20,32,28,32,32,28,29,29,42,89,154.4
1.0,1,11,6,15,13,12,14,9,9,6,13,19,4.5
2.0,1,11,5,16,13,13,15,9,9,6,13,20,5.0
1.0,4,20,9,22,21,21,20,7,14,13,22,38,22.8
2.0,4,22,11,23,22,24,24,8,17,15,26,44,31.3
1.0,1,19,9,21,20,22,20,6,13,9,16,31,14.8
1.0,3,18,9,22,21,22,20,7,13,9,16,20,6.4
1.0,3,18,8,20,20,22,20,8,12,8,15,24,8.7
2.0,1,12,7,16,13,12,14,10,10,9,13,25,7.8
2.0,3,20,10,20,21,23,21,11,10,9,17,19,5.5
2.0,4,22,11,22,20,21,22,7,14,13,23,27,11.4
1.0,5,20,14,18,17,16,18,18,20,12,26,43,25.7
2.0,6,22,15,19,18,19,15,20,20,13,28,51,37.6
2.0,7,24,16,19,20,20,22,20,21,14,29,56,46.4
1.0,8,24,15,20,22,21,20,21,22,16,30,61,58.1
1.0,9,24,16,22,20,23,22,22,22,17,30,61,57.0
2.0,10,22,13,26,23,27,26,20,16,19,31,71,85.7
1.0,11,24,16,28,24,24,25,23,28,21,38,72,91.3
2.0,12,25,15,17,25,24,26,22,26,20,37,71,79.5
2.0,13,25,16,27,25,24,28,24,26,20,38,73,95.0
1.0,15,26,17,28,24,24,25,23,25,21,39,78,107.2
1.0,17,28,18,29,28,27,28,25,27,24,40,79,117.3
2.0,17,26,18,29,28,28,29,26,30,25,40,79,118.5
1.0,18,26,19,28,28,27,28,29,29,27,41,80,119.7
2.0,18,28,19,28,28,27,28,29,29,27,41,82,126.4
1.0,20,29,19,28,26,28,28,29,28,28,40,82,122.0
2.0,20,28,19,29,27,27,28,27,26,28,41,87,140.6
1.0,21,26,17,38,27,28,27,27,26,25,40,85,148.1
2.0,21,25,18,32,28,31,31,28,27,26,41,86,143.4
1.0,21,26,20,31,30,32,26,29,28,29,42,89,157.3
1.0,1,11,6,15,13,12,14,9,9,6,13,20,5.0
2.0,1,11,5,16,13,13,15,9,9,7,13,21,5.5
1.0,1,12,5,17,12,13,15,10,9,8,13,22,6.0
1.0,1,13,5,17,13,14,16,10,9,8,14,23,6.7
2.0,1,14,5,18,14,14,17,10,9,8,15,24,7.6
2.0,5,20,14,19,17,16,18,18,20,12,26,43,26.2
1.0,5,21,15,20,18,16,18,18,21,12,27,44,28.2
1.0,5,22,15,20,19,18,20,19,22,12,26,45,30.2
1.0,10,22,12,25,22,26,24,7,15,4,32,51,43.2
2.0,10,22,12,25,23,27,26,8,16,14,32,52,45.6
2.0,10,20,13,26,23,26,27,10,19,19,31,52,45.9
1.0,9,21,14,26,21,23,29,11,18,18,32,53,46.5
1.0,11,23,15,26,21,20,22,13,19,19,32,54,48.2
2.0,11,24,16,27,24,23,24,17,19,20,33,55,52.9
1.0,11,24,16,28,27,26,28,19,20,21,34,56,58.2
1.0,12,26,17,28,26,25,27,20,21,22,36,57,59.0
1.0,12,26,16,27,28,25,28,21,22,24,28,59,64.6
2.0,12,26,18,28,28,25,27,21,22,25,39,59,64.8
1.0,13,28,18,27,22,25,27,21,23,26,40,62,65.3
1.0,14,26,18,28,23,25,27,21,23,26,40,63,69.1
2.0,19,26,18,30,25,26,29,28,26,28,41,65,77.6
1.0,17,27,18,30,26,26,29,29,26,28,41,56,58.2
1.0,19,28,26,31,28,28,29,30,26,29,42,68,88.9
2.0,18,29,19,32,28,27,29,31,26,30,42,67,87.0
1.0,19,29,20,31,26,26,29,30,27,30,42,69,89.9
1.0,19,28,18,28,23,25,27,21,26,29,40,68,80.4
2.0,20,26,17,28,21,26,28,27,26,29,40,69,80.7
1.0,20,28,18,28,22,25,26,25,27,28,21,68,79.5
1.0,22,26,20,27,28,26,28,27,28,28,42,72,95.8
1.0,2,18,9,8,19,18,20,9,10,8,14,31,12.0
2.0,2,19,9,9,20,19,21,20,11,9,16,35,15.9
1.0,3,11,8,11,19,12,11,16,10,9,18,32,13.4
2.0,4,18,8,10,7,16,10,20,12,10,20,35,12.0
2.0,4,20,10,10,20,20,20,13,13,11,22,38,19.1
1.0,4,19,10,10,20,20,20,13,13,10,11,38,19.0
2.0,4,20,11,11,22,22,22,16,12,12,22,39,21.0
1.0,4,20,11,10,20,20,21,18,10,12,19,37,18.0
1.0,4,20,11,11,22,22,22,16,12,12,22,39,21.0
1.0,5,20,10,9,22,23,24,14,15,11,22,42,23.8
1.0,6,21,9,9,20,20,20,14,11,9,17,37,17.6
2.0,6,21,10,6,19,20,19,12,19,9,17,38,17.6
2.0,6,20,9,10,22,21,20,12,18,12,18,39,20.9
1.0,8,18,18,9,19,12,9,14,11,13,21,42,22.3
2.0,11,19,13,11,20,22,11,18,14,9,32,50,33.3
1.0,12,21,11,9,20,22,10,17,19,19,32,50,32.3
2.0,15,22,17,15,37,38,42,19,22,18,35,59,64.5
1.0,18,20,19,17,44,42,46,28,19,26,37,66,90.7
1.0,14,22,14,16,34,20,38,24,19,19,35,64,73.2
2.0,20,21,18,19,34,37,39,22,17,15,33,59,64.8
1.0,29,23,21,19,42,38,44,28,22,18,37,66,90.0
1.0,37,22,17,14,33,33,37,25,24,23,41,68,79.9
2.0,49,24,19,17,46,48,63,20,24,15,34,60,76.3
2.0,52,22,16,17,41,14,45,19,16,17,33,60,71.5
2.0,23,22,18,16,45,47,62,19,21,17,33,62,80.0
1.0,40,22,18,14,45,45,46,25,27,22,39,70,100.0
1.0,51,23,19,15,37,36,39,24,22,20,36,65,78.3
1.0,65,22,18,16,36,39,41,24,31,25,39,68,85.2
1.0,62,24,21,20,47,45,44,23,30,23,38,67,99.2
1.0,65,22,18,16,36,39,41,24,31,25,39,68,85.1
1.0,46,22,21,18,45,43,45,22,32,23,36,64,86.6
1.0,65,23,17,16,40,39,40,25,30,24,37,64,79.5
1.0,44,25,19,17,42,44,44,24,26,27,40,69,95.7
1.0,40,22,18,14,45,45,46,25,27,22,39,70,100.6
1.0,68,21,18,17,36,37,37,23,23,19,36,64,76.2
1.0,44,23,19,17,43,44,45,24,31,24,36,67,91.9
1.0,37,22,17,15,33,33,37,25,24,23,41,68,81.3
1.0,51,23,19,15,37,36,39,24,22,20,36,65,77.8
1.0,39,22,17,16,35,36,37,25,22,23,36,67,81.7
1.0,51,22,18,19,32,35,39,22,27,24,38,68,83.2
1.0,29,23,21,17,42,38,44,28,22,18,37,66,87.5
1.0,18,20,19,16,44,42,46,28,19,20,38,64,84.1
2.0,18,21,15,15,35,38,40,22,18,19,34,60,64.6
2.0,16,22,18,20,31,32,32,21,18,19,35,61,66.4
2.0,18,23,19,23,32,37,40,23,19,22,37,59,65.3
2.0,24,23,16,17,40,41,45,21,22,21,37,65,83.0
2.0,52,22,16,9,41,41,45,19,16,17,33,60,66.1
2.0,1,19,9,16,20,18,21,19,11,9,16,35,17.6
1.0,14,22,18,17,37,20,38,24,17,19,35,64,77.4
2.0,49,24,19,15,46,48,63,20,22,15,34,60,74.7
2.0,15,22,17,10,37,38,42,19,21,18,35,59,61.3
1.0,8,21,11,9,23,24,26,16,17,12,26,49,33.0
1.0,5,20,10,8,22,23,24,14,15,11,22,42,23.5
1.0,1,18,9,16,19,18,20,9,10,7,13,31,13.5
2.0,28,22,18,16,45,47,62,19,21,17,33,62,79.5
2.0,21,22,18,19,43,45,59,19,20,16,33,60,75.2
2.0,20,21,18,19,34,37,39,22,17,15,33,59,64.9
1.0,10,20,14,12,24,25,12,19,14,14,30,52,39.5
1.0,7,19,11,9,13,22,9,15,13,13,20,45,22.7
1.0,7,20,12,10,22,22,11,16,14,12,26,47,30.3
1.0,6,21,9,9,20,20,10,14,11,9,17,37,17.7
1.0,7,20,12,9,11,23,9,14,17,23,20,41,17.8
1.0,12,21,11,9,10,22,10,17,19,29,22,50,25.9
1.0,10,21,12,9,10,22,12,15,18,24,25,44,20.0
1.0,7,21,11,8,11,22,11,13,11,9,21,46,22.1
1.0,6,20,12,9,10,23,10,12,17,12,22,45,21.1
1.0,7,21,13,11,10,21,10,13,17,12,22,45,21.7
1.0,9,20,11,10,23,24,11,18,13,13,28,50,34.9
1.0,6,20,9,9,20,20,10,14,11,9,17,37,17.9
1.0,6,20,10,9,20,20,10,14,11,9,17,36,16.9
1.0,6,21,10,6,20,21,10,13,12,9,18,37,17.0
2.0,6,21,9,10,19,20,9,12,19,9,17,38,18.8
2.0,6,20,9,10,22,21,10,12,18,12,18,39,20.8
2.0,6,19,4,9,20,20,11,13,12,9,19,37,17.8
2.0,6,20,5,10,20,20,10,14,11,9,17,36,17.0
2.0,6,20,14,12,21,22,11,13,12,9,16,37,18.9
2.0,9,20,13,13,24,25,12,19,14,14,30,50,36.7
2.0,7,21,9,9,20,22,12,20,13,9,31,51,33.9
2.0,6,20,9,9,20,20,10,14,11,9,17,37,17.8
2.0,9,20,11,13,21,20,9,13,12,9,18,37,19.2
2.0,10,22,14,12,24,24,13,18,14,14,35,50,36.2
2.0,12,19,14,11,23,21,11,19,13,14,31,51,36.7
2.0,11,19,13,12,20,22,11,18,14,9,32,50,33.9
2.0,10,20,13,11,21,20,10,19,13,9,35,55,41.1
2.0,6,19,14,11,20,22,10,19,18,9,30,36,17.3
1.0,10,19,19,11,21,13,10,15,12,14,22,43,25.2
1.0,11,19,19,10,11,12,12,17,19,15,25,43,19.9
1.0,13,20,20,13,22,12,11,19,22,18,29,47,31.4
1.0,12,20,19,13,21,12,11,19,21,18,29,46,29.6
1.0,14,21,20,15,22,13,13,21,23,19,30,48,33.8
1.0,14,21,19,14,21,12,11,20,21,18,31,49,33.9
1.0,15,22,19,13,20,11,10,19,20,17,17,46,29.0
1.0,10,19,19,11,21,13,11,16,12,14,22,43,25.2
2.0,10,19,18,12,22,12,12,15,12,14,21,43,26.1
1.0,8,18,18,9,19,12,9,14,11,13,21,42,22.1
1.0,9,19,19,10,20,13,10,15,12,14,22,43,24.3
2.0,6,22,9,10,18,21,22,14,11,23,24,39,19.3
1.0,10,20,14,11,24,25,27,20,18,16,28,28,11.3
1.0,8,19,13,11,21,22,24,17,15,19,21,43,25.0
2.0,7,20,13,10,20,25,24,16,23,18,21,41,22.0
2.0,8,20,13,10,22,23,24,18,19,17,25,44,26.5
2.0,8,19,13,9,29,23,25,18,16,17,24,44,29.4
