distance_moved_meters,time_elapsed_seconds,velocity_mps,direction_change_degrees,zone_dwell_time_seconds,intent_class
17.9,10.0,1.79,0.9,21.2,Transiting
4.0,10.0,0.4,104.6,190.2,Browsing
2.1,10.0,0.21,44.5,213.0,Browsing
1.2,10.0,0.12,99.5,102.9,Browsing
8.4,10.0,0.84,5.6,29.9,Transiting
17.7,10.0,1.77,11.7,28.0,Transiting
2.1,10.0,0.21,142.1,102.9,Browsing
2.4,10.0,0.24,49.6,46.6,Browsing
15.0,10.0,1.5,12.3,33.9,Transiting
3.2,10.0,0.32,144.8,236.4,Browsing
4.0,10.0,0.4,70.3,208.9,Browsing
0.2,10.0,0.02,176.4,196.6,Browsing
12.4,10.0,1.24,12.5,25.2,Transiting
15.4,10.0,1.54,5.8,15.3,Transiting
14.1,10.0,1.41,14.8,30.1,Transiting
0.8,10.0,0.08,153.6,293.1,Browsing
1.8,10.0,0.18,109.0,135.8,Browsing
3.6,10.0,0.36,148.9,110.4,Browsing
15.5,10.0,1.55,11.7,27.6,Transiting
7.5,10.0,0.75,14.5,16.5,Transiting
9.8,10.0,0.98,8.8,10.5,Transiting
3.8,10.0,0.38,65.7,116.9,Browsing
15.5,10.0,1.55,10.0,10.7,Transiting
0.9,10.0,0.09,145.1,184.0,Browsing
16.8,10.0,1.68,14.1,32.0,Transiting
12.6,10.0,1.26,3.3,11.2,Transiting
10.6,10.0,1.06,14.7,12.6,Transiting
8.5,10.0,0.85,2.5,17.0,Transiting
16.9,10.0,1.69,3.4,12.1,Transiting
0.2,10.0,0.02,140.4,52.3,Browsing
12.0,10.0,1.2,13.9,13.7,Transiting
3.9,10.0,0.39,133.7,240.0,Browsing
1.4,10.0,0.14,63.4,146.5,Browsing
4.0,10.0,0.4,135.2,41.9,Browsing
0.8,10.0,0.08,113.6,207.4,Browsing
3.5,10.0,0.35,172.7,297.9,Browsing
4.5,10.0,0.45,48.2,278.5,Browsing
2.3,10.0,0.23,67.8,211.2,Browsing
1.4,10.0,0.14,156.9,281.2,Browsing
3.2,10.0,0.32,162.3,193.1,Browsing
10.3,10.0,1.03,12.4,12.8,Transiting
9.0,10.0,0.9,5.3,25.7,Transiting
13.0,10.0,1.3,14.3,32.3,Transiting
0.3,10.0,0.03,44.0,119.9,Browsing
0.2,10.0,0.02,57.9,175.1,Browsing
6.3,10.0,0.63,5.2,26.2,Transiting
8.2,10.0,0.82,3.8,12.3,Transiting
17.4,10.0,1.74,5.8,34.1,Transiting
1.3,10.0,0.13,91.4,222.7,Browsing
0.8,10.0,0.08,105.1,277.4,Browsing
16.4,10.0,1.64,9.6,26.5,Transiting
1.9,10.0,0.19,118.1,293.5,Browsing
17.1,10.0,1.71,14.9,16.5,Transiting
10.4,10.0,1.04,8.7,12.8,Transiting
10.3,10.0,1.03,6.2,13.9,Transiting
15.3,10.0,1.53,10.7,19.8,Transiting
14.6,10.0,1.46,8.0,18.9,Transiting
9.9,10.0,0.99,4.3,20.7,Transiting
3.6,10.0,0.36,31.9,133.6,Browsing
12.4,10.0,1.24,10.1,20.7,Transiting
3.1,10.0,0.31,70.7,191.8,Browsing
4.2,10.0,0.42,75.4,272.6,Browsing
13.0,10.0,1.3,7.6,32.9,Transiting
7.8,10.0,0.78,10.8,14.5,Transiting
2.5,10.0,0.25,44.9,232.7,Browsing
9.9,10.0,0.99,15.0,15.5,Transiting
14.8,10.0,1.48,10.4,31.8,Transiting
6.2,10.0,0.62,7.6,19.1,Transiting
3.7,10.0,0.37,138.0,108.1,Browsing
1.7,10.0,0.17,81.6,183.6,Browsing
3.3,10.0,0.33,57.1,78.6,Browsing
10.3,10.0,1.03,9.2,25.7,Transiting
0.3,10.0,0.03,111.2,237.7,Browsing
14.9,10.0,1.49,4.4,28.7,Transiting
3.7,10.0,0.37,116.0,61.7,Browsing
14.4,10.0,1.44,2.4,32.4,Transiting
17.8,10.0,1.78,13.3,14.9,Transiting
3.9,10.0,0.39,80.2,202.7,Browsing
2.3,10.0,0.23,84.1,124.8,Browsing
8.4,10.0,0.84,6.5,18.6,Transiting
2.8,10.0,0.28,150.2,84.9,Browsing
2.7,10.0,0.27,30.2,57.6,Browsing
14.0,10.0,1.4,10.2,17.5,Transiting
1.6,10.0,0.16,39.5,99.8,Browsing
13.8,10.0,1.38,10.4,23.5,Transiting
3.2,10.0,0.32,139.1,239.2,Browsing
8.3,10.0,0.83,8.4,28.4,Transiting
15.4,10.0,1.54,9.6,23.0,Transiting
2.0,10.0,0.2,43.4,90.7,Browsing
0.2,10.0,0.02,74.2,241.4,Browsing
16.7,10.0,1.67,10.4,29.8,Transiting
15.2,10.0,1.52,8.7,16.8,Transiting
16.0,10.0,1.6,2.8,30.4,Transiting
2.7,10.0,0.27,168.5,111.3,Browsing
17.6,10.0,1.76,5.8,12.0,Transiting
15.3,10.0,1.53,12.1,15.4,Transiting
3.6,10.0,0.36,118.2,131.7,Browsing
11.5,10.0,1.15,0.4,17.8,Transiting
10.3,10.0,1.03,4.8,23.0,Transiting
13.7,10.0,1.37,9.8,30.9,Transiting
2.4,10.0,0.24,123.9,113.9,Browsing
10.4,10.0,1.04,5.2,12.7,Transiting
14.4,10.0,1.44,7.2,14.9,Transiting
3.0,10.0,0.3,34.7,68.8,Browsing
3.6,10.0,0.36,142.2,268.3,Browsing
10.4,10.0,1.04,6.5,20.6,Transiting
10.9,10.0,1.09,4.4,16.7,Transiting
13.4,10.0,1.34,6.3,33.3,Transiting
3.3,10.0,0.33,163.8,114.3,Browsing
3.9,10.0,0.39,63.2,228.4,Browsing
9.5,10.0,0.95,6.9,33.3,Transiting
4.1,10.0,0.41,71.4,241.2,Browsing
1.0,10.0,0.1,83.0,46.1,Browsing
9.1,10.0,0.91,3.8,25.2,Transiting
14.1,10.0,1.41,5.0,13.9,Transiting
3.4,10.0,0.34,138.5,200.1,Browsing
0.9,10.0,0.09,79.7,53.5,Browsing
0.3,10.0,0.03,74.0,226.2,Browsing
1.3,10.0,0.13,175.6,227.8,Browsing
2.2,10.0,0.22,162.4,190.8,Browsing
1.3,10.0,0.13,90.5,196.3,Browsing
6.5,10.0,0.65,10.2,21.1,Transiting
3.0,10.0,0.3,63.7,74.3,Browsing
2.4,10.0,0.24,84.4,75.7,Browsing
9.1,10.0,0.91,11.4,14.8,Transiting
17.3,10.0,1.73,13.4,10.0,Transiting
3.5,10.0,0.35,88.6,284.4,Browsing
8.5,10.0,0.85,2.6,16.2,Transiting
1.1,10.0,0.11,109.8,257.5,Browsing
16.3,10.0,1.63,9.5,30.4,Transiting
14.0,10.0,1.4,8.8,29.4,Transiting
11.7,10.0,1.17,13.9,32.9,Transiting
2.3,10.0,0.23,63.7,234.5,Browsing
0.6,10.0,0.06,39.9,283.0,Browsing
8.1,10.0,0.81,6.2,17.3,Transiting
11.1,10.0,1.11,8.6,22.3,Transiting
7.2,10.0,0.72,10.5,31.0,Transiting
10.0,10.0,1.0,0.3,16.5,Transiting
9.7,10.0,0.97,13.1,30.1,Transiting
8.6,10.0,0.86,2.6,20.0,Transiting
4.1,10.0,0.41,158.7,96.3,Browsing
2.3,10.0,0.23,141.1,74.2,Browsing
0.9,10.0,0.09,135.7,180.9,Browsing
17.0,10.0,1.7,10.7,19.2,Transiting
9.5,10.0,0.95,0.4,23.7,Transiting
17.0,10.0,1.7,0.2,31.7,Transiting
3.7,10.0,0.37,49.3,100.9,Browsing
3.4,10.0,0.34,110.5,151.1,Browsing
9.8,10.0,0.98,1.0,28.4,Transiting
1.5,10.0,0.15,116.5,243.5,Browsing
3.2,10.0,0.32,61.5,212.0,Browsing
13.2,10.0,1.32,7.3,27.7,Transiting
2.0,10.0,0.2,31.4,40.2,Browsing
14.0,10.0,1.4,5.4,27.6,Transiting
2.5,10.0,0.25,56.3,191.5,Browsing
17.8,10.0,1.78,3.9,24.0,Transiting
11.1,10.0,1.11,2.9,12.1,Transiting
0.6,10.0,0.06,113.1,158.5,Browsing
13.7,10.0,1.37,0.5,22.5,Transiting
9.7,10.0,0.97,15.0,21.5,Transiting
2.2,10.0,0.22,45.8,185.7,Browsing
2.7,10.0,0.27,58.5,70.9,Browsing
0.7,10.0,0.07,43.0,215.7,Browsing
16.4,10.0,1.64,10.7,16.7,Transiting
1.5,10.0,0.15,171.3,75.7,Browsing
0.3,10.0,0.03,71.7,222.4,Browsing
13.1,10.0,1.31,5.8,15.5,Transiting
0.7,10.0,0.07,137.8,62.9,Browsing
15.2,10.0,1.52,7.6,18.7,Transiting
1.9,10.0,0.19,149.1,79.3,Browsing
3.3,10.0,0.33,75.8,188.2,Browsing
16.6,10.0,1.66,6.0,10.9,Transiting
3.7,10.0,0.37,59.5,190.8,Browsing
12.6,10.0,1.26,5.3,24.4,Transiting
11.3,10.0,1.13,0.5,19.5,Transiting
8.2,10.0,0.82,9.6,26.3,Transiting
15.8,10.0,1.58,0.7,10.7,Transiting
8.0,10.0,0.8,8.3,24.1,Transiting
3.5,10.0,0.35,137.0,116.8,Browsing
1.8,10.0,0.18,166.5,288.7,Browsing
3.8,10.0,0.38,178.2,111.5,Browsing
0.3,10.0,0.03,163.0,110.3,Browsing
9.3,10.0,0.93,9.1,13.4,Transiting
4.3,10.0,0.43,87.0,156.8,Browsing
4.5,10.0,0.45,95.8,152.8,Browsing
6.6,10.0,0.66,6.4,19.1,Transiting
0.3,10.0,0.03,142.4,198.9,Browsing
11.5,10.0,1.15,4.3,30.7,Transiting
10.3,10.0,1.03,5.4,33.3,Transiting
1.6,10.0,0.16,169.4,261.8,Browsing
10.6,10.0,1.06,4.2,15.5,Transiting
15.2,10.0,1.52,9.2,27.2,Transiting
1.9,10.0,0.19,85.8,256.9,Browsing
0.0,10.0,0.0,144.9,61.4,Browsing
8.4,10.0,0.84,3.4,16.8,Transiting
2.4,10.0,0.24,166.1,41.9,Browsing
17.0,10.0,1.7,8.6,21.7,Transiting
3.3,10.0,0.33,109.7,129.5,Browsing
6.0,10.0,0.6,13.1,30.1,Transiting
7.9,10.0,0.79,8.5,27.5,Transiting
0.7,10.0,0.07,35.4,154.3,Browsing
1.2,10.0,0.12,113.3,130.2,Browsing
0.5,10.0,0.05,56.4,154.8,Browsing
14.0,10.0,1.4,7.3,24.5,Transiting
8.2,10.0,0.82,6.9,10.5,Transiting
4.4,10.0,0.44,89.6,282.8,Browsing
1.7,10.0,0.17,95.2,123.2,Browsing
2.0,10.0,0.2,74.6,175.6,Browsing
2.0,10.0,0.2,51.8,234.5,Browsing
4.1,10.0,0.41,38.9,122.7,Browsing
14.8,10.0,1.48,8.4,25.0,Transiting
1.9,10.0,0.19,121.6,189.9,Browsing
17.1,10.0,1.71,6.5,26.7,Transiting
15.1,10.0,1.51,8.9,30.0,Transiting
2.7,10.0,0.27,50.6,46.8,Browsing
1.0,10.0,0.1,177.0,161.2,Browsing
3.8,10.0,0.38,61.8,128.6,Browsing
4.1,10.0,0.41,142.8,242.5,Browsing
8.5,10.0,0.85,1.7,15.5,Transiting
15.7,10.0,1.57,8.6,28.2,Transiting
12.0,10.0,1.2,11.4,33.3,Transiting
10.4,10.0,1.04,6.0,29.2,Transiting
7.1,10.0,0.71,6.7,25.4,Transiting
0.1,10.0,0.01,66.0,186.8,Browsing
10.3,10.0,1.03,12.6,18.1,Transiting
7.4,10.0,0.74,9.9,18.3,Transiting
10.6,10.0,1.06,6.5,16.9,Transiting
1.6,10.0,0.16,98.4,96.9,Browsing
1.5,10.0,0.15,97.6,253.7,Browsing
1.6,10.0,0.16,87.8,126.6,Browsing
10.7,10.0,1.07,4.5,16.8,Transiting
17.3,10.0,1.73,2.1,23.5,Transiting
12.3,10.0,1.23,8.5,18.1,Transiting
1.5,10.0,0.15,45.7,208.3,Browsing
3.0,10.0,0.3,71.9,173.0,Browsing
9.0,10.0,0.9,4.8,12.6,Transiting
1.5,10.0,0.15,162.3,53.0,Browsing
1.6,10.0,0.16,30.7,157.0,Browsing
1.0,10.0,0.1,161.1,54.9,Browsing
10.9,10.0,1.09,1.2,18.1,Transiting
15.5,10.0,1.55,1.2,23.8,Transiting
9.5,10.0,0.95,10.4,34.6,Transiting
6.7,10.0,0.67,5.6,12.2,Transiting
3.1,10.0,0.31,62.3,138.6,Browsing
4.1,10.0,0.41,35.0,144.7,Browsing
7.1,10.0,0.71,13.0,10.2,Transiting
1.2,10.0,0.12,112.9,137.7,Browsing
10.0,10.0,1.0,13.3,33.6,Transiting
0.1,10.0,0.01,95.7,47.6,Browsing
1.2,10.0,0.12,175.8,82.4,Browsing
0.9,10.0,0.09,61.2,55.5,Browsing
7.3,10.0,0.73,7.2,29.2,Transiting
3.8,10.0,0.38,66.0,99.4,Browsing
7.0,10.0,0.7,10.1,32.2,Transiting
9.1,10.0,0.91,7.3,32.5,Transiting
17.3,10.0,1.73,8.1,31.0,Transiting
0.4,10.0,0.04,100.0,114.6,Browsing
2.9,10.0,0.29,142.6,161.0,Browsing
17.4,10.0,1.74,7.5,30.9,Transiting
6.3,10.0,0.63,8.5,32.7,Transiting
9.3,10.0,0.93,3.1,18.1,Transiting
0.5,10.0,0.05,59.3,83.5,Browsing
0.1,10.0,0.01,51.1,183.2,Browsing
2.9,10.0,0.29,135.7,234.4,Browsing
8.3,10.0,0.83,4.7,21.2,Transiting
17.0,10.0,1.7,11.3,15.2,Transiting
